Fri May  5 14:46:44 2023,"-*,4,34.19,32.50,761,*-
"
Fri May  5 14:46:45 2023,"-*,4,34.13,33.25,761,*-
"
Fri May  5 14:46:46 2023,"-*,4,34.13,33.00,761,*-
"
Fri May  5 14:46:46 2023,"-*,4,34.19,33.50,761,*-
"
Fri May  5 14:46:47 2023,"-*,4,34.19,33.50,761,*-
"
Fri May  5 14:46:48 2023,"-*,4,34.13,32.50,761,*-
"
Fri May  5 14:46:49 2023,"-*,4,34.19,33.00,761,*-
"
Fri May  5 14:46:50 2023,"-*,4,34.19,33.75,761,*-
"
Fri May  5 14:46:50 2023,"-*,4,34.19,32.75,761,*-
"
Fri May  5 14:46:51 2023,"-*,4,34.19,33.00,761,*-
"
Fri May  5 14:46:52 2023,"-*,4,34.19,33.25,761,*-
"
Fri May  5 14:46:53 2023,"-*,4,34.13,33.25,761,*-
"
Fri May  5 14:46:53 2023,"-*,4,34.13,32.50,761,*-
"
Fri May  5 14:46:54 2023,"-*,4,34.13,32.75,761,*-
"
Fri May  5 14:46:55 2023,"-*,4,34.13,33.00,761,*-
"
Fri May  5 14:46:56 2023,"-*,4,34.13,33.25,761,*-
"
Fri May  5 14:46:57 2023,"-*,4,34.13,33.50,761,*-
"
Fri May  5 14:46:57 2023,"-*,4,34.13,33.00,761,*-
"
Fri May  5 14:46:58 2023,"-*,4,34.13,32.75,761,*-
"
Fri May  5 14:46:59 2023,"-*,4,34.13,32.50,761,*-
"
Fri May  5 14:47:00 2023,"-*,4,34.13,32.50,761,*-
"
Fri May  5 14:47:00 2023,"-*,4,34.13,33.25,761,*-
"
Fri May  5 14:47:01 2023,"-*,4,34.19,33.25,761,*-
"
Fri May  5 14:47:02 2023,"-*,4,34.13,33.25,761,*-
"
Fri May  5 14:47:03 2023,"-*,4,34.13,33.25,761,*-
"
Fri May  5 14:47:04 2023,"-*,4,34.13,32.75,761,*-
"
Fri May  5 14:47:04 2023,"-*,4,34.13,32.50,761,*-
"
Fri May  5 14:47:05 2023,"-*,4,34.13,32.50,761,*-
"
Fri May  5 14:47:06 2023,"-*,4,34.13,33.00,761,*-
"
Fri May  5 14:47:07 2023,"-*,4,34.19,33.00,761,*-
"
Fri May  5 14:47:07 2023,"-*,4,34.13,33.00,761,*-
"
Fri May  5 14:47:08 2023,"-*,4,34.19,32.75,761,*-
"
Fri May  5 14:47:09 2023,"-*,4,34.19,33.00,761,*-
"
Fri May  5 14:47:10 2023,"-*,4,34.13,33.00,761,*-
"
Fri May  5 14:47:10 2023,"-*,4,34.13,33.00,761,*-
"
Fri May  5 14:47:11 2023,"-*,4,34.13,33.25,761,*-
"
Fri May  5 14:47:12 2023,"-*,4,34.19,32.50,761,*-
"
Fri May  5 14:47:13 2023,"-*,4,34.13,33.00,761,*-
"
Fri May  5 14:47:14 2023,"-*,4,34.13,32.25,761,*-
"
Fri May  5 14:47:14 2023,"-*,4,34.13,32.75,761,*-
"
Fri May  5 14:47:15 2023,"-*,4,34.13,32.75,761,*-
"
Fri May  5 14:47:16 2023,"-*,4,34.13,33.25,761,*-
"
Fri May  5 14:47:17 2023,"-*,4,34.13,32.75,761,*-
"
Fri May  5 14:47:17 2023,"-*,4,34.13,32.50,761,*-
"
Fri May  5 14:47:18 2023,"-*,4,34.13,33.00,761,*-
"
Fri May  5 14:47:19 2023,"-*,4,34.13,32.50,761,*-
"
Fri May  5 14:47:20 2023,"-*,4,34.13,32.00,761,*-
"
Fri May  5 14:47:21 2023,"-*,4,34.13,32.50,761,*-
"
Fri May  5 14:47:21 2023,"-*,4,34.13,32.50,761,*-
"
Fri May  5 14:47:22 2023,"-*,4,34.13,32.50,761,*-
"
Fri May  5 14:47:23 2023,"-*,4,34.13,32.50,761,*-
"
Fri May  5 14:47:24 2023,"-*,4,34.13,32.50,761,*-
"
Fri May  5 14:47:24 2023,"-*,4,34.13,33.00,761,*-
"
Fri May  5 14:47:25 2023,"-*,4,34.13,33.00,761,*-
"
Fri May  5 14:47:26 2023,"-*,4,34.13,32.75,761,*-
"
Fri May  5 14:47:27 2023,"-*,4,34.13,32.50,761,*-
"
Fri May  5 14:47:27 2023,"-*,4,34.13,33.00,761,*-
"
Fri May  5 14:47:28 2023,"-*,4,34.13,32.50,761,*-
"
Fri May  5 14:47:29 2023,"-*,4,34.13,32.50,761,*-
"
Fri May  5 14:47:30 2023,"-*,4,34.13,32.25,761,*-
"
Fri May  5 14:47:31 2023,"-*,4,34.13,32.75,761,*-
"
Fri May  5 14:47:31 2023,"-*,4,34.13,32.75,761,*-
"
Fri May  5 14:47:32 2023,"-*,4,34.13,32.25,761,*-
"
Fri May  5 14:47:33 2023,"-*,4,34.13,33.25,761,*-
"
Fri May  5 14:47:34 2023,"-*,4,34.13,32.50,761,*-
"
Fri May  5 14:47:34 2023,"-*,4,34.13,33.25,761,*-
"
