,datetime,Name,voltageV,currentA,powerP
0,2023-05-09 15:00:00,1,1.003,1.1602000000000001,1.165
1,2023-05-09 15:00:00,2,1.0013999999999998,0.5524,0.553
2,2023-05-09 15:00:00,3,0.999,1.5018,1.501
3,2023-05-09 15:00:00,4,1.0,0.9109,0.9119999999999999
4,2023-05-09 15:30:00,1,1.003,1.0135,1.015
5,2023-05-09 15:30:00,2,1.001,0.5065,0.505
6,2023-05-09 15:30:00,3,0.999,1.264,1.265
7,2023-05-09 15:30:00,4,1.0,0.816,0.815
